시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a51150009,부산산업용품상협동조합,전통시장,부산광역시 사상구 괘법동 578,부산광역시 사상구 괘감로 37,부산,사상구,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y
a51150019,르네시떼시장,전통시장,부산광역시 사상구 괘법동 529-1,부산광역시 사상구 광장로7,부산,사상구,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
a51150023,사상시장,전통시장,부산광역시 사상구 괘법동 379-1,부산광역시 사상구 사상로250번길58 괘법동,부산,사상구,Y,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N
a51150018,복이있는덕포시장,전통시장,부산광역시 사상구 덕포동 421-13,부산광역시 사상구 사상로293번길12,부산,사상구,Y,,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N
a51150015,우신종합상가,전통시장,부산광역시 사상구 모라동 1362,부산광역시 사상구 백양대로 880,부산,사상구,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N
a51150020,모라전통시장,전통시장,부산광역시 사상구 모라동 1089-3,부산광역시 사상구 사상로 483,부산,사상구,Y,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N
a51150011,부산광역시건축자재판매협동조합,전통시장,부산광역시 사상구 엄궁동 642,부산광역시 사상구 강변대로 570,부산,사상구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
a51150012,부산광역시철강판매협동조합,전통시장,부산광역시 사상구 엄궁동 643-4,부산광역시 사상구 강변대로 532 17-26,부산,사상구,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51150016,주례현대무지개상가,전통시장,부산광역시 사상구 주례동 530-5,부산광역시 사상구 주례로 93,부산,사상구,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a51150022,주례럭키종합상가,전통시장,부산광역시 사상구 주례동 595-4,부산광역시 사상구 가야대로 284번길 12,부산,사상구,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N
a51150003,구덕대림상가,전통시장,부산광역시 사상구 학장동 167-3,부산광역시 사상구 학감대로49번길 62,부산,사상구,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N
